"","gridid","glat","glon","vmax_gust","vmax_sust","dist_track","gust_dur","sust_dur","dist_track_dur","vavg_gust","vavg_sust","gust_15","sust_15","gust_20","sust_20","gust_30","sust_30","gust_50","sust_50"
"52","PH051722000",13.515,123.19,19.3556050057446,12.9903389300299,226.558088404326,900,0,0,2.69369446147312,1.80784863186115,900,0,0,0,0,0,0,0
"53","PH051723000",13.396,123.34,18.8730537290166,12.6664790127628,232.137435250927,900,0,0,2.64685181894076,1.77641061673876,900,0,0,0,0,0,0,0
"54","PH051724000",13.643,123.25,20.9067005117679,14.0313426253476,211.372161442894,900,0,0,2.82532961686479,1.89619437373476,900,0,360,0,0,0,0,0
"55","PH051725000",13.581,123.38,20.8940955423857,14.0228829143529,211.492025621352,900,0,0,2.81919915516282,1.89207996990793,900,0,360,0,0,0,0,0
"56","PH051726000",13.589,123.07,19.7501895690906,13.2551607846246,220.87614628942,900,0,0,2.71296492814224,1.82078183096794,900,0,0,0,0,0,0,0
"57","PH051727000",13.555,122.99,19.1827443985075,12.8743250996694,226.576536715823,720,0,0,2.65580362687933,1.78241854152975,720,0,0,0,0,0,0,0
"58","PH051728000",13.589,123.29,20.5584231770035,13.7975994476534,214.772338423945,900,0,0,2.79311607529267,1.87457454717629,900,0,360,0,0,0,0,0
"59","PH051729000",13.747,123.72,24.2249201600932,16.2583356779149,181.730202984157,1080,360,0,3.09861060809441,2.07960443496269,1080,360,720,0,0,0,0,0
"60","PH051730000",13.865,122.77,21.8071371964712,14.6356625479673,201.574762206974,900,0,0,2.83734584600727,1.90425895705186,900,0,360,0,0,0,0,0
"61","PH051731000",13.561,123.51,21.2205421844704,14.2419746204499,208.354633009276,900,0,0,2.84953812757791,1.91244169636101,900,0,360,0,0,0,0,0
"62","PH051732000",13.524,123.12,19.1541266975355,12.85511858895,226.868148448488,900,0,0,2.67628523223206,1.79616458539065,900,0,0,0,0,0,0,0
"63","PH051733000",13.692,123.55,22.8807371716991,15.3561994440933,193.170575613022,1080,180,0,2.98214195217053,2.0014375517923,1080,180,540,0,0,0,0,0
"64","PH051734000",13.794,122.96,21.7753239112545,14.6143113498353,201.857503962281,1080,0,0,2.84804405214939,1.91143896117409,1080,0,360,0,0,0,0,0
"65","PH051735000",14.016,123.29,25.7164400369534,17.2593557294989,169.797519854818,1080,360,0,3.18021649693715,2.13437348787728,1080,360,720,0,0,0,0,0
"66","PH051736000",13.626,123.46,21.734452267703,14.5868807165792,203.522395793367,900,0,0,2.8886066791946,1.93866220080175,900,0,540,0,0,0,0,0
"67","PH051737000",13.867,123.35,23.9180288958679,16.0523683864885,184.284055003246,1080,360,0,3.0650482743269,2.05707937874288,1080,360,720,0,0,0,0,0
"68","PH052001000",13.962,124.26,30.220856225026,20.2824538422993,135.19213311905,1260,900,0,3.52521465856924,2.36591587823439,1260,900,900,180,180,0,0,0
"69","PH052002000",13.694,124.36,26.7890082410816,17.9792001617997,159.471837441355,1080,540,0,3.29744927917566,2.21305320750044,1080,540,720,0,0,0,0,0
"70","PH052003000",13.605,124.3,25.3503300702914,17.0136443424775,170.839960953316,1080,540,0,3.18764061606571,2.13935611816491,1080,540,720,0,0,0,0,0
"71","PH052004000",13.873,124.18,28.3677568478936,19.0387629851635,147.827486220959,1260,540,0,3.40311544686651,2.28397009856813,1260,540,900,0,0,0,0,0
"72","PH052005000",13.785,124.35,28.0496385599525,18.8252607784916,150.106138215092,1260,720,0,3.38361681395376,2.2708837677542,1260,720,900,0,0,0,0,0
