typhoon,mun_code,maximum_24h
ketsana2009,PH175202000,5.31423611111111
ketsana2009,PH012903000,1.839583333333332
ketsana2009,PH072209000,0.9204861111111112
ketsana2009,PH175902000,4.4125000000000005
ketsana2009,PH045803000,15.856250000000001
ketsana2009,PH052002000,2.7046875
ketsana2009,PH060602000,1.9363095238095236
ketsana2009,PH056202000,1.4895833333333337
ketsana2009,PH072210000,2.05875
ketsana2009,PH153818000,2.130555555555555
ketsana2009,PH144401000,2.5114583333333336
ketsana2009,PH166801000,0.4118055555555555
ketsana2009,PH063007000,0.9786458333333332
ketsana2009,PH063008000,0.6659722222222221
ketsana2009,PH103503000,2.2390625000000006
ketsana2009,PH083706000,0.7208333333333331
ketsana2009,PH074605000,2.4430555555555555
ketsana2009,PH020901000,1.8239583333333336
ketsana2009,PH086002000,0.8774739583333332
ketsana2009,PH168501000,0.24453124999999998
ketsana2009,PH015509000,3.4781250000000004
ketsana2009,PH051601000,8.671354166666665
ketsana2009,PH063009000,0.6239583333333334
ketsana2009,PH060404000,1.684583333333333
ketsana2009,PH041005000,8.420833333333334
ketsana2009,PH175305000,0.8753906250000001
ketsana2009,PH051703000,2.76375
ketsana2009,PH052003000,2.595833333333333
ketsana2009,PH083707000,0.4234375000000001
ketsana2009,PH054104000,2.1527777777777772
ketsana2009,PH071207000,1.1404166666666669
ketsana2009,PH041006000,8.528645833333334
ketsana2009,PH013307000,1.6760416666666662
ketsana2009,PH144402000,2.1895833333333337
ketsana2009,PH101301000,1.1234848484848485
ketsana2009,PH015510000,3.7473958333333335
ketsana2009,PH043402000,14.106250000000001
ketsana2009,PH166802000,0.6499999999999999
ketsana2009,PH015511000,3.598333333333334
ketsana2009,PH153604000,1.0781249999999998
ketsana2009,PH097303000,1.7827380952380951
ketsana2009,PH025005000,3.946250000000001
ketsana2009,PH060603000,1.8822916666666665
ketsana2009,PH023104000,3.6145833333333353
ketsana2009,PH144403000,2.001041666666666
ketsana2009,PH071248000,0.8895833333333335
ketsana2009,PH071208000,1.226388888888889
ketsana2009,PH087802000,2.9489583333333336
ketsana2009,PH064503000,1.3070312499999999
ketsana2009,PH015512000,2.951041666666667
ketsana2009,PH045804000,14.135416666666666
ketsana2009,PH074607000,2.276666666666667
ketsana2009,PH063010000,1.064583333333333
ketsana2009,PH153605000,1.1385416666666668
ketsana2009,PH015513000,2.717708333333334
ketsana2009,PH133902000,10.473958333333334
ketsana2009,PH104304000,0.8854166666666669
ketsana2009,PH084802000,1.9687500000000007
ketsana2009,PH174001000,8.088194444444445
ketsana2009,PH084803000,0.8800000000000002
ketsana2009,PH031404000,8.960416666666667
ketsana2009,PH141104000,2.795572916666666
ketsana2009,PH015514000,1.030059523809524
ketsana2009,PH140102000,2.7944444444444443
ketsana2009,PH072212000,1.9463541666666657
ketsana2009,PH051704000,4.428472222222221
ketsana2009,PH034902000,6.946527777777775
ketsana2009,PH175203000,5.2453125
ketsana2009,PH157002000,0.5533333333333333
ketsana2009,PH104203000,1.880208333333333
ketsana2009,PH086402000,0.5788194444444447
ketsana2009,PH144404000,2.225925925925926
ketsana2009,PH072213000,1.7958333333333332
ketsana2009,PH112503000,0.7377314814814819
ketsana2009,PH037101000,3.4114583333333335
ketsana2009,PH112323000,0.33541666666666664
ketsana2009,PH175306000,0.7733072916666665
ketsana2009,PH153633000,0.7083333333333331
ketsana2009,PH153606000,0.7802083333333335
ketsana2009,PH140103000,2.3046874999999996
ketsana2009,PH140104000,2.9472222222222215
ketsana2009,PH045605000,7.469791666666667
ketsana2009,PH067901000,1.8447916666666666
ketsana2009,PH071209000,0.906547619047619
ketsana2009,PH160201000,0.43449074074074073
ketsana2009,PH174002000,7.301249999999999
ketsana2009,PH015515000,2.0958333333333337
ketsana2009,PH060604000,1.8297619047619051
ketsana2009,PH021508000,2.079861111111111
ketsana2009,PH141105000,2.110416666666666
ketsana2009,PH051705000,3.1430555555555557
ketsana2009,PH051706000,3.414583333333333
ketsana2009,PH031405000,8.578472222222222
ketsana2009,PH175204000,5.300462962962964
ketsana2009,PH056203000,1.1800000000000002
ketsana2009,PH153802000,2.3318749999999997
ketsana2009,PH153803000,3.560416666666667
ketsana2009,PH056204000,1.4629166666666664
ketsana2009,PH153637000,0.757142857142857
ketsana2009,PH160302000,0.35364583333333327
ketsana2009,PH083710000,0.5446428571428571
ketsana2009,PH045606000,12.051458333333334
ketsana2009,PH012806000,8.030555555555557
ketsana2009,PH012904000,2.1354166666666665
ketsana2009,PH013308000,1.7965277777777784
ketsana2009,PH015516000,1.4100694444444442
ketsana2009,PH023105000,5.999999999999999
ketsana2009,PH166704000,0.2635416666666666
ketsana2009,PH060405000,2.14
ketsana2009,PH031406000,8.13888888888889
ketsana2009,PH175307000,2.5303571428571425
ketsana2009,PH153607000,1.521064814814815
ketsana2009,PH160202000,0.3805059523809524
ketsana2009,PH098302000,1.6777777777777774
ketsana2009,PH013309000,1.8895833333333332
ketsana2009,PH023106000,6.414999999999998
ketsana2009,PH034903000,5.572083333333332
ketsana2009,PH037102000,3.150694444444445
ketsana2009,PH101322000,0.6078125
ketsana2009,PH025702000,4.231597222222223
ketsana2009,PH023107000,4.95625
ketsana2009,PH063012000,1.2348958333333335
ketsana2009,PH034904000,7.05875
ketsana2009,PH087803000,2.351562500000001
ketsana2009,PH012905000,2.5671874999999997
ketsana2009,PH051707000,5.5531250000000005
ketsana2009,PH043404000,11.44513888888889
ketsana2009,PH064504000,1.5444444444444436
ketsana2009,PH104305000,1.361698717948718
ketsana2009,PH175308000,1.0175000000000003
ketsana2009,PH168502000,0.29305555555555546
ketsana2009,PH166804000,0.6328125000000001
ketsana2009,PH087804000,0.8958333333333329
ketsana2009,PH045805000,13.234722222222224
ketsana2009,PH175903000,1.1319444444444444
ketsana2009,PH051708000,4.269097222222223
ketsana2009,PH041007000,7.347916666666667
ketsana2009,PH104204000,3.922916666666667
ketsana2009,PH148101000,2.8244047619047623
ketsana2009,PH153632000,0.9588541666666665
ketsana2009,PH071210000,0.7807291666666666
ketsana2009,PH015517000,2.9979166666666663
ketsana2009,PH041008000,8.788020833333336
ketsana2009,PH064505000,0.8243055555555564
ketsana2009,PH175904000,2.239583333333333
ketsana2009,PH045607000,10.435984848484852
ketsana2009,PH043406000,14.243750000000004
ketsana2009,PH021509000,2.785714285714286
ketsana2009,PH086003000,0.9709558823529411
ketsana2009,PH086004000,0.7850000000000001
ketsana2009,PH063013000,1.1614583333333328
ketsana2009,PH175102000,4.668749999999999
ketsana2009,PH137501000,10.874305555555553
ketsana2009,PH083713000,2.59875
ketsana2009,PH031407000,7.334895833333333
ketsana2009,PH060605000,3.0086309523809525
ketsana2009,PH021510000,1.9609375000000002
ketsana2009,PH050502000,3.1766666666666676
ketsana2009,PH051709000,4.3
ketsana2009,PH036903000,3.8671875
ketsana2009,PH082605000,0.7754629629629629
ketsana2009,PH051710000,4.48125
ketsana2009,PH035405000,7.629761904761906
ketsana2009,PH037103000,2.2239583333333335
ketsana2009,PH045608000,12.775416666666663
ketsana2009,PH071211000,0.6829166666666667
ketsana2009,PH064506000,2.006845238095237
ketsana2009,PH074608000,0.7220833333333333
ketsana2009,PH166805000,0.27625
ketsana2009,PH012907000,1.4013888888888888
ketsana2009,PH051602000,11.213333333333333
ketsana2009,PH036904000,4.901388888888888
ketsana2009,PH083714000,3.765833333333335
ketsana2009,PH084804000,0.7031249999999997
ketsana2009,PH112504000,0.6352564102564104
ketsana2009,PH051711000,3.570208333333334
ketsana2009,PH052004000,2.971354166666666
ketsana2009,PH012807000,2.747321428571428
ketsana2009,PH045806000,14.665972222222223
ketsana2009,PH083715000,1.732916666666666
ketsana2009,PH063014000,0.723148148148148
ketsana2009,PH071212000,1.0479166666666668
ketsana2009,PH072215000,1.5145833333333334
ketsana2009,PH112303000,0.3845833333333332
ketsana2009,PH124702000,2.9875000000000003
ketsana2009,PH160204000,0.2682291666666667
ketsana2009,PH166806000,0.3460648148148148
ketsana2009,PH042104000,12.9
ketsana2009,PH034905000,5.524839743589745
ketsana2009,PH166807000,0.23194444444444443
ketsana2009,PH037702000,5.970833333333335
ketsana2009,PH056205000,1.8562500000000008
ketsana2009,PH056206000,1.7600694444444445
ketsana2009,PH037104000,3.9150000000000005
ketsana2009,PH054105000,1.4068452380952376
ketsana2009,PH045610000,8.2015625
ketsana2009,PH084805000,1.1443452380952377
ketsana2009,PH101801000,0.8756944444444446
ketsana2009,PH112505000,0.6825757575757577
ketsana2009,PH071213000,0.8662499999999999
ketsana2009,PH072216000,1.8166666666666662
ketsana2009,PH084806000,2.039583333333334
ketsana2009,PH064507000,2.6125
ketsana2009,PH043407000,17.525
ketsana2009,PH042105000,8.832916666666664
ketsana2009,PH054106000,0.9999999999999999
ketsana2009,PH072217000,1.1273437499999996
ketsana2009,PH012908000,1.79375
ketsana2009,PH015503000,1.3284722222222223
ketsana2009,PH045802000,14.65297619047619
ketsana2009,PH030803000,5.377604166666668
ketsana2009,PH012805000,2.2902777777777774
ketsana2009,PH074606000,2.3543154761904765
ketsana2009,PH083708000,0.8218750000000004
ketsana2009,PH160301000,0.4439583333333333
ketsana2009,PH043403000,12.9
ketsana2009,PH166803000,0.5632575757575756
ketsana2009,PH072211000,1.090625
ketsana2009,PH082604000,0.8156944444444446
ketsana2009,PH160203000,0.1385416666666667
ketsana2009,PH043405000,12.509722222222221
ketsana2009,PH175205000,6.927430555555554
ketsana2009,PH012906000,2.1354166666666665
ketsana2009,PH072214000,1.7380208333333336
ketsana2009,PH086005000,0.9662878787878787
ketsana2009,PH023108000,4.242824074074075
ketsana2009,PH042106000,12.130729166666667
ketsana2009,PH112403000,0.8756944444444444
ketsana2009,PH104307000,1.9708333333333334
ketsana2009,PH064509000,1.0650000000000004
ketsana2009,PH034908000,7.338888888888888
ketsana2009,PH042108000,9.982986111111112
ketsana2009,PH074611000,1.4383333333333332
ketsana2009,PH064510000,1.7032407407407408
