typhoon,mun_code,pre_max_6h,pre_max_24h,during_total_rainfall,during_max_rainfall,during_mean_rainfall,during_max_1h_intensity,during_max_3h_intensity,during_max_6h_intensity,post_max_6h,post_max_24h
vamco2020,PH071223000,20.233333333333334,34.666666666666664,10.083333333333334,2.65,1.4404761904761905,4.85,9.733333333333334,,16.433333333333334,29.55
vamco2020,PH153825000,11.76,26.16,9.16,2.12,1.3085714285714285,3.76,8.9,,5.760000000000001,6.04
vamco2020,PH050504000,10.316666666666666,16.016666666666666,307.38333333333327,13.216666666666663,4.587810945273631,26.416666666666664,64.26666666666667,109.85,55.583333333333336,61.93333333333334
vamco2020,PH101802000,13.666666666666668,23.599999999999998,1.6999999999999997,0.4,0.24285714285714283,0.7333333333333334,1.5333333333333332,,5.3999999999999995,12.566666666666665
vamco2020,PH097343000,27.166666666666668,37.46666666666667,13.366666666666665,4.233333333333333,1.9095238095238094,7.633333333333333,13.333333333333334,,2.666666666666666,4.266666666666666
vamco2020,PH082609000,2.0999999999999996,3.699999999999998,5.276923076923076,0.4307692307692307,0.21107692307692305,0.8076923076923076,1.746153846153846,3.384615384615384,31.215384615384615,48.06923076923077
vamco2020,PH045619000,97.34285714285714,152.94285714285712,544.2142857142858,18.585714285714285,9.894805194805196,37.01428571428571,88.94285714285714,172.5,51.2,70.1
vamco2020,PH097223000,40.87777777777778,56.2,0.0555555555555555,0.0555555555555555,0.007936507936507927,0.0555555555555555,0.0555555555555555,,3.444444444444444,5.033333333333332
vamco2020,PH150710000,15.799999999999999,22.566666666666663,0.3999999999999999,0.25,0.05714285714285713,0.3,0.3833333333333333,,3.2166666666666663,3.2166666666666663
vamco2020,PH150712000,11.9375,17.35,0.0,0.0,0.0,0.0,0.0,,0.425,1.0875
vamco2020,PH156606000,27.257142857142856,32.42857142857142,0.0,0.0,0.0,0.0,0.0,,0.3571428571428571,0.3999999999999997
vamco2020,PH031409000,8.424999999999999,15.075000000000001,296.25,17.425,4.4216417910447765,33.3,81.7,136.45000000000002,23.5,25.975
vamco2020,PH112404000,33.574999999999996,36.45,11.675,2.75,1.667857142857143,5.375,11.525,,5.35,6.175
vamco2020,PH060608000,20.866666666666667,33.21666666666667,3.9666666666666663,1.6833333333333331,0.5666666666666667,2.633333333333333,3.55,,78.66666666666666,88.53333333333333
vamco2020,PH030805000,3.5,6.64,283.72,14.2,4.234626865671642,27.739999999999995,72.96000000000001,127.28,5.34,9.24
vamco2020,PH082610000,13.225,14.525,17.525000000000006,1.925,0.5653225806451615,2.975,5.200000000000001,9.225000000000001,47.075,76.4
vamco2020,PH083719000,18.17142857142857,43.01428571428571,25.75714285714286,4.685714285714285,3.6795918367346943,8.857142857142858,21.314285714285713,,40.31428571428572,80.72857142857143
vamco2020,PH086008000,9.575000000000001,22.075000000000003,149.97500000000002,5.975,2.238432835820896,11.212499999999999,26.900000000000002,42.599999999999994,29.6375,52.324999999999996
vamco2020,PH166809000,144.88888888888889,158.15555555555557,51.4,11.377777777777776,2.056,19.22222222222222,42.18888888888889,50.022222222222226,4.0,5.433333333333332
vamco2020,PH083720000,22.18,42.6,33.54,7.38,4.791428571428571,13.16,28.68,,40.5,71.62
vamco2020,PH142709000,77.39999999999999,173.39999999999998,261.15000000000003,41.55,4.748181818181819,57.449999999999996,108.4,149.4,30.1,68.5
vamco2020,PH064511000,15.4,35.975,4.8999999999999995,1.7,0.7,3.125,4.9,,10.3,18.6
vamco2020,PH064512000,21.650000000000002,38.3625,9.5125,4.775,1.3589285714285713,7.4,9.3875,,12.974999999999998,23.4625
vamco2020,PH086403000,8.725,19.7375,11.975000000000001,2.675,1.7107142857142859,5.3375,10.2625,,34.6375,60.775
vamco2020,PH086404000,7.5,17.2,8.799999999999999,2.5,1.257142857142857,4.9,7.8,,32.1,54.9
vamco2020,PH142702000,67.45,148.4875,227.025,28.1375,4.127727272727273,53.3,93.875,138.1875,21.8125,42.137499999999996
vamco2020,PH037105000,4.68,8.58,148.99999999999997,13.62,2.4426229508196715,26.46,50.14,77.48,5.06,5.28
vamco2020,PH041010000,10.625,22.525,310.7,16.675,5.093442622950819,32.72500000000001,70.80000000000001,106.80000000000001,7.45,8.55
vamco2020,PH060406000,29.54285714285714,43.81428571428571,61.08571428571428,4.914285714285715,1.9705069124423962,9.27142857142857,21.785714285714285,41.25714285714285,14.114285714285714,15.357142857142856
vamco2020,PH063021000,10.933333333333334,31.216666666666665,5.316666666666666,2.433333333333333,0.7595238095238095,4.4833333333333325,5.316666666666666,,68.93333333333334,93.36666666666666
