SID,name_year,ADM3_PCODE,entry_date,exit_date,hours_difference,is_intersect,is_third_pass
2014260N13135,fung-wong2014,PH097340000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH157006000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH153817000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH015542000,2014-09-18 21:00:00,2014-09-20 00:00:00,27.0,True,False
2014260N13135,fung-wong2014,PH037114000,2014-09-19 06:00:00,2014-09-19 09:00:00,3.0,True,False
2014260N13135,fung-wong2014,PH013319000,2014-09-18 18:00:00,2014-09-20 09:00:00,39.0,True,False
2014260N13135,fung-wong2014,PH104323000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH012931000,2014-09-18 18:00:00,2014-09-20 06:00:00,36.0,True,False
2014260N13135,fung-wong2014,PH082622000,2014-09-17 12:00:00,2014-09-18 09:00:00,21.0,True,False
2014260N13135,fung-wong2014,PH112414000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH153640000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH153812000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH153824000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH103506000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH153813000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH101319000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH150705000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH126313000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH166724000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,True,False
2014260N13135,fung-wong2014,PH012932000,2014-09-18 18:00:00,2014-09-20 09:00:00,39.0,True,False
2014260N13135,fung-wong2014,PH126316000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH041029000,2014-09-18 15:00:00,2014-09-18 18:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH083745000,2014-09-18 03:00:00,2014-09-18 06:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH097327000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH072248000,2014-09-18 03:00:00,2014-09-18 06:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH083746000,2014-09-18 00:00:00,2014-09-18 03:00:00,3.0,False,False
