,year,actual,predicted
3550,2016,0.0,0.014333398096363508
3554,2016,0.1762891141472014,0.5365003880755659
3555,2016,0.0,0.05643606195671344
3557,2016,0.0,0.05507807692848855
3561,2016,0.0,0.1449687201664287
3564,2016,0.0,0.05370794652245712
3568,2016,1.0,0.8504720610374477
3569,2016,0.0,0.06418974628769872
3572,2016,0.0,0.028170320295211368
3578,2016,1.0,0.8233049214096336
3579,2016,0.0,0.06124839733333789
3581,2016,0.0,0.028581003831703953
3585,2016,0.6417687976151043,0.7840482593045651
3586,2016,0.0,0.0947755856603076
3589,2016,0.0,0.03362056072649616
3593,2016,0.0,0.11749180379068601
3595,2016,0.0,0.046697002121888535
3599,2016,0.0,0.113388503964027
3603,2016,0.0,0.21365567938648067
3608,2016,0.2596053997923157,0.13385527535236802
3615,2016,0.02088554720133667,0.4147966710400626
3618,2016,0.0,0.004580040930609996
3622,2016,0.2464065708418891,0.435015827855726
3623,2016,0.0,0.002768912216932964
3627,2016,0.0,0.024527847547638232
3631,2016,0.1352467765348817,0.17495365185117373
3635,2016,0.0,0.09604763027303097
3639,2016,0.0,0.06572269136566523
3641,2016,0.0,0.0075749376140261645
3644,2016,0.0,0.023067427186959852
3651,2016,0.9768839905532098,0.13236637564843143
3652,2016,0.5756035725915244,0.4899766104098687
3655,2016,0.0,0.004571382320071172
3658,2016,0.04899825783972125,0.6488775440927322
3659,2016,0.0,0.02796278494043782
3661,2016,0.0,0.03383177249160656
3665,2016,0.01840264998159735,0.44977447638170703
3666,2016,0.0,0.03623512726133269
3669,2016,0.0,0.22001439068990805
3674,2016,0.0,2.3052097740894417e-05
3677,2016,0.0,0.005247864572574335
3679,2016,0.0,0.06523576746090075
3684,2016,0.04639175257731959,0.35392435479674833
3685,2016,0.0,0.1455698432302107
3687,2016,0.0,0.0014076082125280413
3691,2016,0.0,0.00015625
3836,2016,1.0,0.4387929873325023
3846,2016,1.0,0.4102949649007534
3856,2016,1.0,0.3872777976617558
3867,2016,0.8844191686877979,0.4217513903980934
3879,2016,0.04417585524455754,0.4717204485261759
3890,2016,1.0,0.5246588596839161
3900,2016,1.0,0.5187937465202543
3910,2016,1.0,0.47327371631597664
3921,2016,1.0,0.359346836051071
3932,2016,1.0,0.5044611209042849
3943,2016,0.1354029823227085,0.32550357701125643
3954,2016,0.04449190247374978,0.30315869182433636
3966,2016,1.0,0.6399511271474084
3976,2016,0.8576051779935275,0.3663139082343187
3985,2016,1.0,0.45323338227574345
4000,2016,1.0,0.5454371358563438
4010,2016,1.0,0.5847652087461976
4019,2016,0.7034573017777294,0.1984699238932013
4023,2016,0.3753638731423319,0.19390368573688485
4036,2016,0.6007488087134104,0.12855890872926273
4042,2016,0.6254667662434652,0.17568871232648214
4047,2016,0.08895303950857641,0.07554235659039095
4060,2016,0.2128683548052717,0.14882852127124882
4073,2016,0.3922087079146835,0.14889085405673602
4084,2016,0.5871794871794872,0.14187847950705218
4094,2016,0.165128046660744,0.07030702892718182
4107,2016,1.0,0.5210867601268292
4119,2016,1.0,0.37299761315018254
4135,2016,1.0,0.5704457470467296
4146,2016,1.0,0.642652721345813
4161,2016,1.0,0.5868808112782922
4176,2016,0.9215110948101962,0.47089937222173894
4190,2016,1.0,0.41485325598224515
4205,2016,0.766402542113947,0.3988960825064043
4219,2016,0.9095075485262402,0.5099313636896754
4233,2016,1.0,0.385248522186793
4247,2016,1.0,0.5925070365504613
4260,2016,1.0,0.42254580374954237
4270,2016,1.0,0.5157462666581977
4275,2016,1.0,0.272988630384908
4289,2016,1.0,0.4162153682939435
4305,2016,1.0,0.398163777864621
4318,2016,1.0,0.3983608251270026
4331,2016,0.8186642911810095,0.3353740820689361
4340,2016,0.6732100163583742,0.3585997904627742
4355,2016,1.0,0.43030553167978314
4370,2016,1.0,0.4170447178563772
4385,2016,0.3963943755091439,0.4359271278671953
4398,2016,1.0,0.38269083986689467
4411,2016,0.7038078589344076,0.294460133389373
4425,2016,1.0,0.33406165527408754
4434,2016,1.0,0.5747112294248617
4447,2016,1.0,0.3670368898897264
4460,2016,1.0,0.33450148088490833
4473,2016,1.0,0.46801927570277785
4488,2016,1.0,0.49408082249362173
4501,2016,0.6097844988200223,0.3351671832305218
4513,2016,1.0,0.48604524061350085
4521,2016,0.6504014641634196,0.24490016636996742
4533,2016,1.0,0.4590099591889964
4540,2016,0.1019160211985324,0.5155780382135573
4546,2016,1.0,0.5651379029589857
4559,2016,0.1057210262459451,0.6434585964192414
4565,2016,1.0,0.5129046713985702
4579,2016,1.0,0.5710349578114213
4584,2016,1.0,0.384448648914748
4592,2016,1.0,0.4344427408631467
4599,2016,1.0,0.45200339915061166
4608,2016,1.0,0.5326940265948898
4806,2016,0.03226702391844203,0.23440424929899287
4812,2016,0.07708013261098083,0.21431419217188735
4818,2016,0.07292224953334935,0.12550377901086993
4824,2016,0.2257289595758781,0.17595487941835228
4830,2016,0.1730253140464408,0.2963752148070412
4836,2016,0.1534965212533645,0.17285860255266608
4842,2016,1.0,0.2210267626938974
4848,2016,0.3434308410036565,0.24470686282109724
4859,2016,0.05066468162474803,0.18288675295125884
4864,2016,0.01706592726044364,0.12234247105141298
4869,2016,0.1230081257914732,0.19002905710212706
4875,2016,0.4722991079299038,0.11244036909564258
4881,2016,0.06213598212243317,0.23004565462556872
4887,2016,0.138343604739215,0.1162811757825974
4892,2016,0.2004321119920006,0.1417500145399114
4898,2016,0.0,0.06976215657687104
4906,2016,0.0,0.07937511305219638
4912,2016,0.02200419127452848,0.165223650714384
4918,2016,0.01032686333076931,0.18875824112161052
4923,2016,0.06358141510891394,0.21492208115471884
4928,2016,0.4102620206772058,0.20329376218513076
4941,2016,0.0,0.06463545754027622
4947,2016,0.03725835423002365,0.11662982961774508
4958,2016,0.0,0.07188210141874342
4964,2016,0.3131002769504102,0.20165636834577674
4974,2016,0.1956359102244389,0.09863741815991148
4979,2016,0.4289260878727216,0.1438215242345017
4990,2016,0.0,0.05236206983657619
4995,2016,0.005085849133371308,0.11220743686635487
5010,2016,0.1659170098194488,0.11703249768669474
5014,2016,0.0,0.04086836168055579
5024,2016,0.3115731785944552,0.13073665163152087
5028,2016,0.6067961165048544,0.3682272661090246
5038,2016,0.1119236101793461,0.10688529133223726
5042,2016,0.08636788048552754,0.19678345595006658
5046,2016,0.07910796353499586,0.28228157171891677
5059,2016,0.08156860866232273,0.1887862585104577
5061,2016,0.0008101101749837977,0.10721491854922274
5065,2016,0.04395218002812939,0.3586597038615006
5069,2016,0.03575949367088608,0.3681884233192416
5073,2016,0.1126004326328801,0.19069102096591403
5077,2016,0.0,0.014090705378038464
5082,2016,0.4348304711580801,0.23852071500249938
5093,2016,0.03541905283601414,0.1401913958991024
5098,2016,0.06896947817525435,0.07430076559922612
5121,2016,0.03130661835233934,0.21280566614460916
5137,2016,0.0,0.025241050748062648
5147,2016,0.2064411973476914,0.167767515762936
5154,2016,0.6306542568118343,0.23012995871495712
5161,2016,0.331211999337576,0.29277293241066904
5168,2016,0.06112404965023754,0.19249819559955422
5175,2016,0.01352256336286833,0.25289930281922696
5182,2016,0.1301758931685685,0.11957998977249865
5189,2016,0.1666157805207833,0.17464988230026196
